X_pos,Y_pos,Z_pos,X_pos_ref,Y_pos_ref,Z_pos_ref,X_vel,Y_vel,Z_vel,X_vel_ref,Y_vel_ref,Z_vel_ref,X_pos_err,X_pos_err_upper,X_pos_err_lower,Y_pos_err,Y_pos_err_upper,Y_pos_err_lower,Z_pos_err,Z_pos_err_upper,Z_pos_err_lower,X_vel_err,X_vel_err_upper,X_vel_err_lower,Y_vel_err,Y_vel_err_upper,Y_vel_err_lower,Z_vel_err,Z_vel_err_upper,Z_vel_err_lower
[1.13043214],[-2.3591976],[1.14643962],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.1523426],[-4.79413567],[2.09165008],0.0,0.0,0.0,[-12.15777616],45.27082007209497,-45.27082007209497,[12.06712059],45.27082007209497,-45.27082007209497,[-6.22675543],45.27082007209497,-45.27082007209497,[0.86650035],9.548298277703738,-9.548298277703738,[5.4295954],,,[-1.95015751],,
[1.17069528],[-2.45527943],[1.18908912],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.01315724],[-4.80409146],[2.13247504],0.0,0.0,0.0,[-12.14634416],45.29202764284237,-45.29202764284237,[12.17652246],45.29202764284237,-45.29202764284237,[-6.26742608],45.29202764284237,-45.29202764284237,[0.57159991],9.550654427838975,-9.550654427838975,[5.47009343],,,[-2.03353279],,
[1.211639],[-2.5528169],[1.23279658],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.04718588],[-4.87687328],[2.18537306],0.0,0.0,0.0,[-12.13010501],45.314030277608246,-45.314030277608246,[12.28240989],45.314030277608246,-45.314030277608246,[-6.31390693],45.314030277608246,-45.314030277608246,[0.81195746],9.553009996854405,-9.553009996854405,[5.29437144],,,[-2.32404222],,
[1.25184374],[-2.651473],[1.27375323],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.01023712],[-4.93280495],[2.04783277],0.0,0.0,0.0,[-12.11738585],45.336827215851756,-45.336827215851756,[12.38506394],45.336827215851756,-45.336827215851756,[-6.36715062],45.336827215851756,-45.336827215851756,[0.63595803],9.555364985179802,-9.555364985179802,[5.13270268],,,[-2.66218479],,
[1.28629729],[-2.75265549],[1.31352746],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.72267757],[-5.05912452],[1.98871128],0.0,0.0,0.0,[-12.10673018],45.360417656807314,-45.360417656807314,[12.48999958],45.360417656807314,-45.360417656807314,[-6.41647582],45.360417656807314,-45.360417656807314,[0.53278325],9.557719393244405,-9.557719393244405,[5.24678223],,,[-2.46625975],,
[1.32033373],[-2.85609164],[1.35438696],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.70182195],[-5.17180786],[2.04297507],0.0,0.0,0.0,[-12.09466187],45.38480075972568,-45.38480075972568,[12.59610391],45.38480075972568,-45.38480075972568,[-6.46193321],45.38480075972568,-45.38480075972568,[0.60341577],9.560073221476927,-9.560073221476927,[5.30521616],,,[-2.27286943],,
[1.3564919],[-2.95889499],[1.39437564],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.80790843],[-5.1401672],[1.99943386],0.0,0.0,0.0,[-12.0809676],45.40997564412468,-45.40997564412468,[12.70236103],45.40997564412468,-45.40997564412468,[-6.50266263],45.40997564412468,-45.40997564412468,[0.68471329],9.562426470305548,-9.562426470305548,[5.31285636],,,[-2.03647146],,
[1.38777116],[-3.05964675],[1.44319462],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.563963],[-5.03758824],[2.4409489],0.0,0.0,0.0,[-12.07632322],45.435941390049315,-45.435941390049315,[12.80804048],45.435941390049315,-45.435941390049315,[-6.53932622],45.435941390049315,-45.435941390049315,[0.23221916],9.564779140157928,-9.564779140157928,[5.2839724],,,[-1.83317935],,
[1.41785924],[-3.16416195],[1.49025799],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.50440411],[-5.22575959],[2.35316882],0.0,0.0,0.0,[-12.06904863],45.46269703834119,-45.46269703834119,[12.9121745],45.46269703834119,-45.46269703834119,[-6.57737368],45.46269703834119,-45.46269703834119,[0.36372948],9.567131231461197,-9.567131231461197,[5.20670071],,,[-1.90237276],,
[1.45166989],[-3.26651979],[1.53987716],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.69053254],[-5.11789222],[2.48095852],0.0,0.0,0.0,[-12.06543843],45.490241590917016,-45.490241590917016,[13.01609549],45.490241590917016,-45.490241590917016,[-6.61692074],45.490241590917016,-45.490241590917016,[0.18050993],9.569482744641961,-9.569482744641961,[5.19604942],,,[-1.97735324],,
[1.48141879],[-3.36731512],[1.59350045],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.48744512],[-5.03976675],[2.68116462],0.0,0.0,0.0,[-12.05562733],45.51857401105615,-45.51857401105615,[13.11938593],45.51857401105615,-45.51857401105615,[-6.65895979],45.51857401105615,-45.51857401105615,[0.49055505],9.571833680126304,-9.571833680126304,[5.16452219],,,[-2.10195225],,
[1.5160217],[-3.46277684],[1.6529971],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.73014536],[-4.77308573],[2.97483234],0.0,0.0,0.0,[-12.05537754],45.54769322369681,-45.54769322369681,[13.22325496],45.54769322369681,-45.54769322369681,[-6.70216683],45.54769322369681,-45.54769322369681,[0.01248967],9.574184038339782,-9.574184038339782,[5.19345151],,,[-2.16035212],,
[1.55240442],[-3.55890153],[1.70618288],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.81913604],[-4.80623466],[2.65928876],0.0,0.0,0.0,[-12.05484197],45.57759811574098,-45.57759811574098,[13.32856905],45.57759811574098,-45.57759811574098,[-6.74221066],45.57759811574098,-45.57759811574098,[0.02677818],9.576533819707434,-9.576533819707434,[5.26570451],,,[-2.00219134],,
[1.57952251],[-3.65951342],[1.75368493],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.35590433],[-5.03059462],[2.37510254],0.0,0.0,0.0,[-12.04798881],45.608287536367726,-45.608287536367726,[13.4344445],45.608287536367726,-45.608287536367726,[-6.77370851],45.608287536367726,-45.608287536367726,[0.34265796],9.578883024653777,-9.578883024653777,[5.29377249],,,[-1.57489283],,
[1.60460805],[-3.75997794],[1.80184715],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.254277],[-5.02322579],[2.40811101],0.0,0.0,0.0,[-12.03640795],45.63976029735471,-45.63976029735471,[13.54062673],45.63976029735471,-45.63976029735471,[-6.80603348],45.63976029735471,-45.63976029735471,[0.57904306],9.581231653602801,-9.581231653602801,[5.30911153],,,[-1.61624821],,
[1.6399736],[-3.8603239],[1.84536726],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.76827769],[-5.01729782],[2.17600578],0.0,0.0,0.0,[-12.03739262],45.67201517340783,-45.67201517340783,[13.65085139],45.67201517340783,-45.67201517340783,[-6.82802597],45.67201517340783,-45.67201517340783,[-0.04923364],9.583579706977988,-9.583579706977988,[5.5112328],,,[-1.09962452],,
